F1,F2,F3,Label
2.087657151853535,1.2671623121226423,1.8719724912266118,0
1.6994161212123229,2.3756569267691003,2.962413493403729,0
2.0856082521225985,2.8299929082640976,1.5478250746128253,0
2.3803086203254713,2.5032673174655464,1.4405655953448226,0
2.034202049227993,2.6972333800640715,1.6620795344725774,0
2.0284141838427177,1.4702434380013774,1.3326699742189014,0
1.5086058185352713,1.0047325332807095,2.085869221196357,0
1.5359693577143363,3.0509335563688404,3.137274920928692,0
1.0181763097402146,1.774124112810505,2.2261554911812205,0
3.2247037202308575,1.8244168884814669,1.8233525485115987,0
1.1292957352261004,2.9297358992943403,1.7957321117591192,0
1.5149663615428648,2.389361006580462,0.9057664339123401,0
1.4971149141015618,2.3191214404571254,2.618176844003011,0
2.626447063861109,3.5155016414307587,1.9455139620910387,0
1.7935352251955805,1.5495372387339,1.873664060486562,0
2.8734194508716135,2.6494880896568658,4.235175297491402,0
1.528556563029292,2.039909187427959,2.2091270358559805,0
2.195295913556661,2.18801459520428,1.473746264933371,0
1.4152570627181698,3.069927898488772,1.7015496826561196,0
3.501604389441372,2.3554850294027365,2.803911996437728,0
1.1686811066793412,2.376807255334743,2.0792892873764353,0
2.216874497158919,2.7507551361168616,0.9932054151778433,0
2.443643816652469,1.7445330893199804,2.643460254202642,0
2.2896593682160487,1.4125532328626957,1.5322991401227042,0
1.8702986387856042,1.2686335641852766,3.311308443352282,0
1.9091255101866016,0.6235503874367989,2.7560336460002537,0
2.030668030385377,3.4393449909582254,1.6868746730388742,0
1.897098598860058,1.2277541439948219,2.896711453214579,0
2.6747153817564366,1.8451224634899597,2.0474988573691824,0
3.547366101113946,1.8062306900777556,2.5969415725855534,0
1.6097557504945166,2.2151846884663704,2.339312972106132,0
1.0411379142946457,2.5710160487775076,1.4075503415063886,0
1.9382025661541216,2.6023314418518217,1.5495151173777766,0
3.805796536358023,1.5918457930017431,2.7209725723068128,0
1.4374278024211886,1.883014800349512,1.7656572675254214,0
3.147381763810847,2.19780596534181,1.7174460757306023,0
3.174390569853508,1.825916211671517,1.331414194455453,0
1.6124882308044037,3.1251419032139944,2.2965193459154225,0
2.3982881554296926,2.3436824661467757,3.4437674434702013,0
3.1398776361899765,2.514414450234872,1.252726960022009,0
1.7346105813087591,2.4640168880671887,2.0169536196709306,0
1.8574937479283467,2.8214317002397276,2.9885543887908,0
1.5928233602359494,2.1267150910925947,1.9442510261279995,0
1.2896702885149933,1.0922176364309075,2.3166602573748136,0
1.545505718453795,2.2797815662268492,1.2563245302971842,0
1.1432418132664206,1.5440501743457198,2.299814968045354,0
2.0238584277814584,1.6299683227751702,1.8689990144968158,0
1.4610187382589508,2.410454813128565,2.690010996975904,0
2.1636501382535234,2.866798150003545,2.8311702360953257,0
0.9108730476574609,2.0148901037152434,3.8126945494130293,0
2.23161616255012,2.2161831088192745,2.405743221249503,0
2.583470273126247,3.191550461244667,2.2280574216075166,0
0.6043850501999812,2.1685272256419976,2.1360690111041354,0
2.2618395988933004,3.8211781799262763,1.7527835950325181,0
2.8593682947313046,2.395856751942081,2.236938690423184,0
1.1532512869161562,0.7674660685909276,1.7932190129026795,0
3.1708006707863925,2.5273391347731726,2.11792268338873,0
2.2933133065562314,2.2668108694179443,2.922318274925572,0
1.506491700969114,2.9028269278579217,1.2954202043042513,0
1.9609616456396057,2.471226945888971,2.7979149927903317,0
2.3908288387652057,1.9030808112113584,2.9219805471379057,0
2.053203773988688,1.142991234597444,1.9173520311062449,0
2.3771291947124586,1.8536837198997822,0.5147015706939839,0
1.3555284848444438,1.40463568205349,1.5745246090338973,0
2.1185525768252544,1.593633585136694,2.9078961825927765,0
